Sr. No.,College Name,Placement %
287,"6732 - Ajeenkya DY Patil School of Engineering, Lohegaon",
288,"6754 - International Institute of Information Technology (I²IT), Pune",
289,"6755 - JSPM Narhe Technical Campus, Pune",
290,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",
291,"6757 - Yashoda Technical Campus, Wadhe",
292,"6758 - Sahyadri Valley College of Engineering & Technology, Rajuri",
293,"6759 - Shree Ramchandra College of Engineering, Lonikand",
294,"6762 - Nanasaheb Mahadik College of Engineering,Walwa",
295,"6767 - Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet",
296,"6768 - P.K. Technical Campus, Pune",
297,"6769 - Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje",
298,"6770 - SKN Sinhgad Institute of Technology & Science, Kusgaon",
299,"6772 - NBN Sinhgad Technical Institutes Campus, Pune",
300,"6780 - D.Y.Patil Education Society's,D",
301,"6781 - Bhagwant Institute of Technology, Barshi",
302,"6782 - Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",
303,"6794 - Anantrao Pawar College of Engineering & Research, Pune",
304,"6795 - Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering",
305,"6796 - Bharati Vidyapeeth's College of Engineering,Lavale",
306,"6797 - Dnyanshree Institute Engineering and Technology, Satara",
307,"6799 - Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus",
308,"6802 - Dr. D.Y.Patil Institute of Engineering, Management",
309,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",
310,"6808 - Keystone School of Engineering, Pune",
311,"6815 - Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",
312,"6822 - Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",
313,"6834 - Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",
314,"6839 - Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur",
315,"6878 - Dr. A. D. Shinde College Of Engineering, Tal",
316,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon",
317,"6991 - Dr. D.Y. Patil Technical Campus, Varale",
